link_id,prcn_dt,tfvl,sped,ocpy_rate,trvl_hh,snapshot_stat_dt,snapshot_saved_at
4050017500,20260915232500,0,38,0,17,2026091523,2026-09-15 23:29:26
4060009602,20260915232500,0,38,0,34,2026091523,2026-09-15 23:29:26
4060009601,20260915232500,0,37,0,10,2026091523,2026-09-15 23:29:26
4060015000,20260915232500,0,52,0,19,2026091523,2026-09-15 23:29:26
4050039900,20260915232500,0,46,0,59,2026091523,2026-09-15 23:29:26
4060112700,20260915232500,0,55,0,60,2026091523,2026-09-15 23:29:26
4050170800,20260915232500,0,25,0,33,2026091523,2026-09-15 23:29:26
4050016400,20260915232500,0,12,0,36,2026091523,2026-09-15 23:29:26
4060008500,20260915232500,0,48,0,79,2026091523,2026-09-15 23:29:26
4050072000,20260915232500,0,19,0,75,2026091523,2026-09-15 23:29:26
4050175000,20260915232500,0,26,0,31,2026091523,2026-09-15 23:29:26
4060058700,20260915232500,0,28,0,28,2026091523,2026-09-15 23:29:26
4050094400,20260915232500,0,30,0,13,2026091523,2026-09-15 23:29:26
4050015300,20260915232500,0,38,0,11,2026091523,2026-09-15 23:29:26
4050009900,20260915232500,0,27,0,15,2026091523,2026-09-15 23:29:26
4060007400,20260915232500,0,62,0,42,2026091523,2026-09-15 23:29:26
4050043100,20260915232500,0,37,0,12,2026091523,2026-09-15 23:29:26
4050014201,20260915232500,0,34,0,24,2026091523,2026-09-15 23:29:26
4050008800,20260915232500,0,57,0,19,2026091523,2026-09-15 23:29:26
4060006300,20260915232500,0,60,0,7,2026091523,2026-09-15 23:29:26
4050013100,20260915232500,0,49,0,4,2026091523,2026-09-15 23:29:26
4060005200,20260915232500,0,46,0,8,2026091523,2026-09-15 23:29:26
4060033000,20260915232500,0,30,0,10,2026091523,2026-09-15 23:29:26
4050166300,20260915232500,0,28,0,92,2026091523,2026-09-15 23:29:26
4050091100,20260915232500,0,46,0,9,2026091523,2026-09-15 23:29:26
4050012000,20260915232500,0,8,0,35,2026091523,2026-09-15 23:29:26
4060004100,20260915232500,0,19,0,23,2026091523,2026-09-15 23:29:26
4050159800,20260915232500,0,38,0,13,2026091523,2026-09-15 23:29:26
4050084600,20260915232500,0,27,0,13,2026091523,2026-09-15 23:29:26
4050187600,20260915232500,0,3,0,105,2026091523,2026-09-15 23:29:26
4050005502,20260915232500,0,50,0,45,2026091523,2026-09-15 23:29:26
4060003000,20260915232500,0,49,0,78,2026091523,2026-09-15 23:29:26
4050033300,20260915232500,0,59,0,26,2026091523,2026-09-15 23:29:26
4050027900,20260915232500,0,35,0,95,2026091523,2026-09-15 23:29:26
4050136300,20260915232500,0,52,0,9,2026091523,2026-09-15 23:29:26
4060025400,20260915232500,0,48,0,9,2026091523,2026-09-15 23:29:26
4060128400,20260915232500,0,34,0,22,2026091523,2026-09-15 23:29:26
4050061100,20260915232500,0,33,0,6,2026091523,2026-09-15 23:29:26
4050055700,20260915232500,0,10,0,34,2026091523,2026-09-15 23:29:26
4050026800,20260915232500,0,47,0,9,2026091523,2026-09-15 23:29:26
4060024302,20260915232500,0,36,0,464,2026091523,2026-09-15 23:29:26
4060024301,20260915232500,0,36,0,197,2026091523,2026-09-15 23:29:26
4050060000,20260915232500,0,46,0,23,2026091523,2026-09-15 23:29:26
4050054600,20260915232500,0,43,0,8,2026091523,2026-09-15 23:29:26
4050003304,20260915232500,0,50,0,137,2026091523,2026-09-15 23:29:26
4050003303,20260915232500,0,50,0,17,2026091523,2026-09-15 23:29:26
4050003301,20260915232500,0,50,0,209,2026091523,2026-09-15 23:29:26
4050031100,20260915232500,0,44,0,42,2026091523,2026-09-15 23:29:26
4050025700,20260915232500,0,28,0,29,2026091523,2026-09-15 23:29:26
4050128700,20260915232500,0,54,0,10,2026091523,2026-09-15 23:29:26
4050053500,20260915232500,0,36,0,58,2026091523,2026-09-15 23:29:26
4050156500,20260915232500,0,49,0,29,2026091523,2026-09-15 23:29:26
4050178900,20260915232500,0,25,0,38,2026091523,2026-09-15 23:29:26
4050002200,20260915232500,0,55,0,217,2026091523,2026-09-15 23:29:26
4050030000,20260915232500,0,26,0,12,2026091523,2026-09-15 23:29:26
4050024600,20260915232500,0,7,0,80,2026091523,2026-09-15 23:29:26
4060022102,20260915232500,0,54,0,151,2026091523,2026-09-15 23:29:26
4060022101,20260915232500,0,54,0,95,2026091523,2026-09-15 23:29:26
4050080200,20260915232500,0,39,0,10,2026091523,2026-09-15 23:29:26
4050183200,20260915232500,0,23,0,28,2026091523,2026-09-15 23:29:26
4050177800,20260915232500,0,22,0,53,2026091523,2026-09-15 23:29:26
4050023500,20260915232500,0,13,0,62,2026091523,2026-09-15 23:29:26
4060021000,20260915232500,0,54,0,12,2026091523,2026-09-15 23:29:26
4050148900,20260915232500,0,36,0,18,2026091523,2026-09-15 23:29:26
4050176700,20260915232500,0,49,0,5,2026091523,2026-09-15 23:29:26
4060014505,20260915232500,0,38,0,27,2026091523,2026-09-15 23:29:26
4060014504,20260915232500,0,38,0,1,2026091523,2026-09-15 23:29:26
4050022400,20260915232500,0,53,0,23,2026091523,2026-09-15 23:29:26
4060014503,20260915232500,0,38,0,12,2026091523,2026-09-15 23:29:26
4060014502,20260915232500,0,40,0,15,2026091523,2026-09-15 23:29:26
4050153200,20260915232500,0,43,0,67,2026091523,2026-09-15 23:29:26
4050044800,20260915232500,0,36,0,29,2026091523,2026-09-15 23:29:26
4050147800,20260915232500,0,46,0,14,2026091523,2026-09-15 23:29:26
4060042300,20260915232500,0,32,0,12,2026091523,2026-09-15 23:29:26
4050175600,20260915232500,0,40,0,37,2026091523,2026-09-15 23:29:26
4050021300,20260915232500,0,54,0,35,2026091523,2026-09-15 23:29:26
4050015900,20260915232500,0,51,0,9,2026091523,2026-09-15 23:29:26
4050043700,20260915232500,0,30,0,11,2026091523,2026-09-15 23:29:26
4050152100,20260915232500,0,18,0,35,2026091523,2026-09-15 23:29:26
4050146700,20260915232500,0,40,0,22,2026091523,2026-09-15 23:29:26
4050020200,20260915232500,0,45,0,4,2026091523,2026-09-15 23:29:26
4060006904,20260915232500,0,55,0,25,2026091523,2026-09-15 23:29:26
4060006903,20260915232500,0,15,0,35,2026091523,2026-09-15 23:29:26
